Mexico,A,15
South Korea,A,25
Czechia,A,41
South Africa,A,60
Canada,B,30
Switzerland,B,19
Qatar,B,55
Bosnia,B,65
Brazil,C,6
Morocco,C,8
Scotland,C,43
Haiti,C,83
USA,D,16
Australia,D,27
Turkiye,D,22
Paraguay,D,40
Germany,E,10
Ecuador,E,23
Cote d'Ivoire,E,34
Curacao,E,82
Netherlands,F,7
Japan,F,18
Sweden,F,38
Tunisia,F,44
Belgium,G,9
Iran,G,21
Egypt,G,29
New Zealand,G,85
Spain,H,2
Uruguay,H,17
Saudi Arabia,H,61
Cabo Verde,H,69
France,I,1
Senegal,I,14
Norway,I,31
Iraq,I,57
Argentina,J,3
Austria,J,24
Algeria,J,28
Jordan,J,63
Portugal,K,5
Colombia,K,13
Congo,K,46
Uzbekistan,K,50
England,L,4
Croatia,L,11
Panama,L,33
Ghana,L,74
